ءبد	أبد,تأبد,أبدا
شرق	شرق,مشرق
شرك	شرك,شريك,شارك,شراك,أشرك,شرك,اشترك,شركة,تشارك
شرم	شرم
شري	شري,اشترى,شرى
شزر	شزر
شطء	شاطئ
شطر	شطيرة
شعب	شعب,شعبة
شعر	إشعار,شعار,استشعر,شعر,أشعر,استشعار,شعر
شعع	شع
شعل	اشتعل,شعله,شعلاء,أشعل,شعل
شغف	شغف,شغف,انشغف
شغل	شغل,تشاغل,اشتغل,انشغل,أشغل,شاغل,مشغول,شغل
شفع	شفع
شفف	أشف,شفاف
شفق	شفق,شفقة
شفه	شفة,شفه
شفو	
شفي	مستشفى,بالهناءوالشفاء,شفى
شقر	أشقر
شقق	اشتق,اشتقاق,انشقاق,شقة,انشق
شقو	شقوة,شقاء
شكر	شكر,شكر,تشكر,شاكر
شكك	شك
شكل	شكل,أشكل
شكو	شكا
شمءز	اشمأز,مشمئز
شمس	شامس,شمس,أشمس
شمع	شمع
شمل	شمال,اشتمل
شمم	شم
شنق	شنق,شنق
شهد	شاهد,مشهود,مشهد,أشهد,شهد,شهد,استشهد
شهر	أشهر,اشتهار,شهير,اشتهر,شاهر,شهر,شهر,مشهور
شهل	أشهل,شهل,شهلاء
شهم	شهم
شهو	شهيةطيبة
شوء	شاء
شوب	شاب
شور	أشار
شوس	أشوس
شوش	شاش
شوف	شوف
شوق	تشويق,شاق,تشوق,شوق
شوك	شوكة,شوك
شوه	شاة,شاء
شوي	شي,شوى
شيء	شيء,ليس,شاء
شيب	شاب,أشيب
شيخ	شيخ,شاخ
شيد	أشاد
شيط	شيطان,شيط,شاط,شيط
شيع	شيح,شيع,شاع,أشاع,شائعة,إشاعة,شيع
شيل	شال,شيول
صبب	صب
صبح	أصبح,صبح,صبح,مصابحة,مصباح,اصطبح,صبيح,صابح,استصبح,صباح
صبر	أصبر,صبر,صابر,صنبور,اصطبر,صبور,صبر,صنوبر,تصبر
صبع	إصبع
صبو	صبي,صبا
صحب	صاحبة,صاحب,صحب
صحح	صح,صحح,أصح,صحيح,صحة,صحح
صحف	صحيفة,صحف,مصحف,صحافة
صحن	صحن
صحو	صحى,صحوة,صحي,صحو,صحا
صدد	صد
صدر	تصدر,مصدور,مصدر,صدر,تصادر,صدر,صادر,استصدر
صدع	صدع,صداع,صدع
صدف	صادف,صدف,صدفة
صدق	صديقة,صدقة,أصدق,تصديق,تصدق,صدق,أصدقاء,صديق,صادق,صدق
صدم	اصطدم,صدام,مصدوم,صدم
صرح	صريح,أصرح,صرح,تصريح
صرخ	صاروخ,صرخ,صارخ
صرر	أصر,صرة,مصر
صرصر	صرصر
صرع	صرع,صارع
صرف	تصريف,انصرف,صراف,مصرف,صرف
صعب	أصعب,صعب
صعد	مصعد,صعد
صعق	صعق
صغر	أصغر,صغر,صغير
صغو	صغو,صغا,أصغى
صفح	صفحة,صفح,صفيحة
صفر	أصفر,اصفر,صفر,صفر
صفع	صفع,صفعة
صفف	صف
صفق	صفقة
صفو	أصفى,صفا,صفاء,صفي,صاف
صكك	صك
صلب	أصلب,صلب,صليب
صلح	صالح,أصلح,مصلحة,صلح,صلح
صلو	مصلى,صلى,صلاة,صلوة
صلي	أصلى,صلى,تصلى,اصطلى
صمت	صمت,صامت
صمد	صمد,صمود
صمغ	صمغ
صمم	صمم,صمم,أصم,تصميم,صمام
صنبر	صنوبر,صنبور
صندق	صندوق
صنع	صانع,صنع,أصنع,صنع,صناعة,مصنع
صنف	صنف
صنم	صنم
صوب	استصواب,صوب,أصاب,إصابة
صوت	صوت,صوت
صور	مصور,صور,تصوير,تصويرة,تصور,صورة,مصورة
صوغ	صيغة
صوف	صوف,تصوف,صوفي
صوم	صيام,صام
صون	صان
صوي	صوة
صيح	صاح
صيد	صيد,صياد,صاد,صيد,اصطاد
صير	صار
صيف	صيف
ضءن	ضائن,ضأن
ضبط	ضبط,مضبوط,ضابط
ضجع	ضاجع
ضحك	ضحك,ضحك,أضحك,مضحك
ضخخ	ضخ,مضخة
ضخم	تضخم
ضدد	ضاد
ضرب	اضطرب,ضريبة,ضربة,أضرب,ضرب,ضرب
ضرح	ضريح
ضرر	ضر,ضرر,ضرورة,مضر,اضطر
ضرس	ضرس
ضرط	ضرط
ضرع	مضارع,ضرع
ضرغط	اضرغط
ضعف	أضعف,ضعف,ضعيف
ضغط	ضغط
ضفدع	ضفدع
ضفر	ضفيرة
ضفف	ضفة
ضلع	ضلع
ضلل	ضل,ضلل,ضال
ضمم	انضم,ضم,ضمة
ضمن	تضامني,تضامن,ضمن,مضمون,ضمان,تضمن,ضمن,ضمني
ضهد	ضهد
ضوء	مضيء,أضاء,تضوأ,ضوء,استضاء,ضاء
ضيع	ضيع,ضاع,أضاع
ضيف	أضاف,ضيف,إضافة,ضاف
ضيق	ضاق,مضايق,ضيق,أضيق,مضايقة,ضايق,تضايق
طبب	طبي,تطبب,طبب,طبیب,طبيب,طب
طبخ	طباخ,طبخ,مطبخ
طبع	طابع,انطباع,طبيعة
طبق	طابق,طبقة,طبق
طحل	طحلب
طحلب	طحلب
طحن	طحينة,طحن,طحين,مطحنة,طحن
طرب	طرب,أطرب
طرح	انطرح,تطرح,تطارح,اطرح,طرح,طارح,طرح
طرد	طرد,استطرد,مطاردة
طرش	أطرش
طرط	طرطور
طرطر	طرطور
طرطع	طراطيع
طرف	طرف,تطرف,طرف,أطرف,متطرف,طريف
طرق	طريق
طرو	أطرى,طري
طري	أطرى,طري
طزج	أطزج
طعم	طعام,أطعم,مطعم,طعم
طعن	طعن
طغو	طاغوت
طغي	طغى,طاغوت
طفء	طفئ,طفأ,انطفأ,أطفأ
طفق	طفق
طفل	طفل,طفولة
طفو	طفا
طقس	
طلب	مطلوب,طالب,طلب
طلح	طلح
طلسم	مطلسم
طلع	طلع,أطلع,مطلع
طلق	أطلق,طلق,مطلق
طلل	طل,أطل
طلي	طلاء
طمع	طمع
طنن	طن
طهر	طهر
طور	تطور
طوع	طوع,طاوع,طاع,استطاع,أطاع,طوع,أطوع,قدرالمستطاع,تطوع
طوف	طاف
طوق	طاقة
طول	طال,طويل,طاول,طول,تطول,طاولة,تطاول,أطول,استطال,أطال
طيب	طيب,أطيب,شهيةطيبة,طاب
طير	طائر,طار,طيارة,طير,مطار,طييرة,طير,طائرة,أطير
طيف	طيف
طين	طين
ظبي	ظبي
ظرف	ظرفية,أظرف,ظريف,ظرف
ظلم	ظلمة,مظلم,أظلم,ظلم
ظنن	ظن
ظهر	ظاهرة,تظاهر,ظاهر,استظهر,ظهران,ظهر,ظهر,أظهر
عبء	عبء
عبد	عبد,عبد,تعبد,استعبد
عبر	عبر,معتبر,اعتبر,تعبير,عبري,اعتبار
عبس	عبس
عبعب	عبعب
عبل	عبل
عبم	عبم
عبن	عبن
عبهل	عبهل
عبو	عبوة,عبا,عبو
عتت	عتت
عتد	أعتد
عتعت	عتعت
عتق	عاتق,عتق
عتل	عتل
عتم	عتم
عتن	عتن,أعتن
عتو	عتو
عتي	حتى
عثث	عثث
عثج	عثج
عثجل	عثجل
عثر	عثر,عثر
عثعث	عثعث
عثق	عثق
عثكل	عثكل
عثل	عثل
عثلب	عثلب
عثم	عثم
عثن	عثن
عجب	عجب,أعجب,عجيب,عجاب,عجب,تعجب
عجج	عج,عجاج,عجج,عجج
عجر	عجر
عجرف	عجرفة,متعجرف,عجرف,تعجرف
عجرم	عجرم
عجز	عجز,عجز,عجوز
عجس	عجس
عجعج	عجعج
عجف	عجف
عجل	عجول,استعجل,عجيل,مستعجل,عجل,أعجل,عجل
عجم	أعجم,عجم,عجم
عجن	عجن,معجون
عجه	عجه
عجو	عجو
عدد	مستعد,متعدد,عديد,عدد,أعد,استعد,عدد,عد
عدر	عدر
عدس	عدس
عدف	عدف
عدق	عدق
عدل	تعديل,عادل,أعدل,تعادل,عدل,معدل,عدل
عدم	إعدام,معدوم,عدم
عدن	عدن
عدو	عدو,عدو,عدوى,اعتدى,تعدى,عدا,عدى,اعتداء
عذب	أعذب,تعذب,عذب,عذب
عذج	عذج
عذر	معذرة,اعتذر,عذراء,عذر,عذرة
عذف	عذف
عذفر	عذفر
عذق	عذق
عذل	عذل
عذلج	عذلج
عذلق	عذلق
عذم	عذم
عذو	عذو
عرب	استعرب,عرب,إعراب,عربية,أعرب,تعريب,عرب,تعرب
عربد	عربد
عربس	عربس
عربش	عربش
عربن	عربن,عربن
عرت	عرت
عرتن	عرتن
عرث	عرث
عرج	عرج,عرج,أعرج
عرد	عرد
عرر	عرر
عرز	عرز
عرس	عروس,عرس,عرس,عريس
عرش	عرش,عريش
عرص	عرص
عرض	عرض,عارض,معرض,عريض,استعرض,عرض,اعتراض
عرعر	عرعر
عرف	أعرف,معروف,عرف,استعرف,تعارف,عريف,عارف,عرف,اعترف,تعرف
عرق	تعرق,عرق,معرق,عرق,العراق,أعرق
عرقب	عرقب
عرقد	عرقد
عرقص	عرقص
عرقل	عرقل
عرقي	عرقي
عرك	عرك,عراك,معركة
عركس	عركس
عرم	عرم
عرمض	عرمض
عرن	عرين,عرن,أعرن
عرو	عرو
عري	عار,عري,عري,عراء,عريان
عزب	أعزب,تعزب,عزب
عزر	عزر
عزز	أعز,عز,عزز
عزف	عزف,معزف,عزف
عزل	تعزل,عزلة,أعزل,عزل,عزل
عزم	عزم,عزم,تعزم,اعتزم
عزو	عزا,عزو
عزي	عزى,عزي
عسب	عسب,عصبي
عسبل	عسبل
عسج	عسج
عسجر	عسجر
عسد	عسد
عسر	عسر
عسس	عسس
عسعس	عسعس
عسف	عسف
عسق	عسق
عسقل	عسقل
عسل	عسل,عسل
عسمط	عسمط
عشب	عشب
عشد	عشد
عشر	عشر,عشرة,عشر
عشش	عشش,أعش,عشش,عش
عشف	عشف
عشق	عاشق,عشق,تعشيقة,تعشق,عشق
عشو	عشاء
عشي	تعشى
عصب	عصب,معصب
عصر	عصر,أعصر,معاصر,عصير,تعصر,عصر
عصف	عصف,عصف
عصم	عاصمة,عصم,عصم
عصي	عصيان
عضض	عض,عضض,أعض
عضو	عضو,عضو
عطر	عطر,عطر
عطس	عطس,عطس
عطف	عاطف,عطف,أعطف,معطف
عطل	عطل,معطل,عطلة,عطل
عطو	عطو,أعطى,تعطى
عظم	عظم,أعظم,عظم,عظيم
عفج	تعفج,عفج,عفج
عفرت	عفريت
عفن	عفن,تعفن
عفو	عفوا,عافية
عقب	عقاب,عاقب,عاقبة,عقوبة
عقد	معقد,عقدة,عقد,انعقد,عقد,عقيدة,اعتقد,أعقد
عقر	عقر
عقل	اعتقل,اعتقال,معقل,معقول,أعقل,عقل,عقل,معتقل,عاقل
عقم	عقم,عقم,عقيم
عكس	عكس,عاكس,انعكس,عكس,تعاكس
علب	علبة
علج	عالج,معالجة
علق	تعليق,تعلق,علق,معلق
علم	معلم,تعالم,علم,تعليم,عالم,تعلم,معلوم,أعلم,عليم,علم,معلمة,استعلم
علن	أعلن
علو	تعالى,علا,عليا,علي,عال,علاوة,علوي,أعلى
علي	تعالى,علي,على,عال,أعلى
عمد	تعمید,عمد,عمد,تعمد,متعمد,عمود,عميد
عمر	اعتمر,عامر,عمر,معمار,عمر,أعمر,مستعمر,استعمر
عمق	أعمق
عمل	اعتمل,انعمل,استعمال,عمل,استعمل,عمل,تعامل,تعمل,عامل,أعمل
عمم	أعم,عام,عمومي,عامة,عامي
عمه	عمه
عمي	عمي,أعمى
عنف	عنيف,أعنف,عنف
عنو	عنوان
عني	معنى,عنى,عانى,اعتنى
عهد	متعهد,عهد,معهد
عهر	عاهرة,عهر
عهل	عاهل
عوج	اعوج
عود	عادة,أعاد,عود,اعتاد,عود,عاد,عادي
عوذ	استعاذ
عور	استعار,استعارات,أعار,عور,استعارة,عورة,عواري,معير,عوار,أعور,عور,عوارية
عول	عائلة
عوم	عام
عون	عاون,تعاون,استعان,أعان,عون
عيد	
عير	عار,تعاير,عير,معير,عير
عيش	عاش,عيش
عين	عيان,معين,معاينة,عاين,عين,عين
عيي	عيان
غبر	أغبر,غبر
غبن	غبن
غبو	غبي,أغبى
غبي	غبي,أغبى
غدر	غادر,غدير
غدو	تغدى,غداء
غذو	مغذ,تغذية,غذاء,غذى,غذا
غرب	مغرب,قرب,غرب,غربة,أغرب,غرب,غريب,اغترب
غرد	غرد,تغريدة,غرد,تغريد
غرر	غر
غرغر	غرغر
غرف	غرفة
غرق	غرق,غرق
غرم	أغرم,غرام
غزر	غزارة
غزل	غزل
غزو	غزو
غسل	غسالة,غسل,مغسلة,مغسل,غسل
غشي	غشاء,غشي
غصب	اغتصب,غصب
غصن	غصن
غضب	مغضوب,غضب,غضبان,غاضب
غضض	غض
غطس	غطس,مغطس
غطو	غطاء,غطى
غفر	غفر,غفير
غفل	غفل
غلب	غلب,غالبية,غالب,أغلب,غلبة
غلط	غلط
غلظ	أغلظ,غليظ
غلف	أغلف,غلفة,غلف,مغلف,غلف,غلاف
غلق	غلق,أغلق
غلل	غل
غلم	غلم,أغلم,غلام,اغتلم
غلو	أغلى,غال
غلي	غلى,غلاية,غليون
غمر	غمر
غمض	غموض,أغمض
غمم	غمامة
غني	غني,أغنى,أغنية,غنى,غناء
غور	غور,غارة
غوص	غوص
غول	اغتيال,اغتال,غول
غوي	غاية
غيب	غائب,غيب,غاب,تغيب,غيبة,غابة
غيد	غيد
غير	أغير,غيور,تغير,غيرة,غار,غير,غير,غائر
غيظ	غيظ
غيم	غيمة,غائم
فءس	فأس
فتح	فتاحة,مفتوح,فاتحة,أفتح,فاتح,فتح,افتتاحي,افتتح,تفتح,فتاح,افتتاح,فتح
فتر	فتور
فتش	فتش,مفتش
فتن	فتنة
فتو	فتوى,مفت,فتى,فتاة
فتي	فتى,فتاة
فجء	مفاجأة,فجأة,تفاجأ,فجء,فجائي,فاجأ
فجج	فج
فجر	أفجر,فاجرة,انفجر,تفجر,فجر
فجو	فجوة
فحش	فاحشة,فحشاء,فحش,فحش
فحم	فحم
فخذ	فخذ
فخر	فخور,فخر,أفخر,فاخر
فخم	أفخم,فخم
فدي	فدى,فدية,فداء
فرج	فرج
فرح	فرحان,فرح,فرحة,فرح
فرخ	فرخ
فرد	منفرد,فريد,فرد,انفرد
فرس	تفرس,فارس,فرس,فروسية,فريسة,افترس,فرس
فرش	فرش,فراش
فرص	فرصة
فرض	افترض,فرض,فرض
فرع	أفرع,فارع,فرع
فرغ	استفرغ,فروغ,إفراغ,تفرغ,فرغة,استفراغ,فرغ,فارغ,متفرغ,تفريغ,مفروغ,مستفرغ,فراغ,مفرغ,أفرغ,فرغ
فرق	فرق,فريق,تفرق,فارق,تفارق,فرقة
فزز	استفز,فز,فزز
فزع	فزع
فسح	فسح
فسد	أفسد,فاسد
فسر	فسر,تفسير
فسفس	فسفس
فسق	فسق,فسقية,فسق
فسل	فسل,أفسل
فسو	فسا
فشل	فشل,فشل
فشو	فشو
فصح	فصح,أفصح
فصل	فصيلة,منفصل,فصل,انفصل,فصل
فضح	فضيحة,فضح
فضض	فضض,فضة,فضي
فضل	مفضل,تفاضل,فضل,تفضل,أفضل,فضل
فضو	فضاء
فضي	فضاء
فطر	تفطر,انفطر,فطر,إفطار,أفطر,فاطر
فعل	تفاعل,أفعل,فعل,فعل,فاعل,افتعل,انفعل
فعو	أفعى
فعي	أفعى
فغي	أفعى
فقد	تفقد,مفقود,فقد,فقد
فقر	افتقر,فقر,فقرة,فقر,أفقر,فقير
فقس	فقس
فقم	تفاقم
فقه	فقيه,فقه
فكر	فكر,تفكر,فكر
فلح	أفلح,فلاح
فلس	أفلس,إفلاس
فلك	فلك
فني	فان,أفنى
فهم	استفهم,فهم,تفاهم
فوت	فوت,فات
فور	فوار,فور,فوارة,فور,فار,فورا
فوز	مفازة,فوز,فائز,فاز,فوز
فوض	تفاوض,فوضى,فوضوي,فوضوية
فوق	أفاق,تفوق,متفوق,فوق
فيد	استفاد,فائدة,أفاد,مفيد
فيض	أفاض,فاض
قبب	قيقب
قبح	أقبح,قبح,قبيح,استقبح
قبر	قبر,أقبر,قبر,مقبرة
قبص	قبص
قبض	قبض,تقبض,قبض
قبط	قبط
قبع	قبع
قبقب	قبقب
قبل	مقابلة,قابلة,قابلية,تقابل,قبلة,استقبل,تقبل,قبلا,قبيلة,أقبل,قابل,قبل,اقتبل,قبل
قبن	قبن
قتب	قتب
قتد	قتد
قتر	قتر
قتع	قتع
قتل	تقاتل,قاتل,قتل,قتل,أقتل,اقتتل,مقتل,استقتل
قتم	قتم
قتن	قتن
قثث	قثث
قثقث	قثقث
قثم	قثم
قثو	قثو
قحب	قحبة,قحب
قحث	قحث
قحثر	قحثر
قحح	قحح
قحد	قحد
قحز	قحز
قحزل	قحزل
قحزن	قحزن
قحش	قحش
قحص	قحص
قحط	قحط,قحط
قحطب	قحطب
قحف	قحف
قحقح	قحقح
قحل	قحل
قحم	قحم
قحو	قحو
قدح	قدح,قدح,قداحة
قدد	قدد,قد,مقداد,تقدد,انقد
قدر	أقدر,قدر,تقدير,قدر,قدرة,مقدرة,قدير,مقدار,تقدر,قادر
قدس	قديس,أقدس,قدس,مقدس,قدس,القدس,تقدس
قدع	قدع
قدف	قدف
قدم	قدم,أقدم,قادم,قدم,تقدم,متقدم,مقدم,قديم
قدو	قدو
قدي	قدي
قذذ	قذذ
قذر	قذر,قذر
قذع	قذع
قذف	قذيفة,قذف,قذف
قذقذ	قذقذ
قذي	قذي
قرء	قرء,قراءة,تقرأ,القرآن,أقرأ,قرأ,استقرأ,انقرأ
قرب	قرب,قارب,مقراب,أقرب,غرب,قرب,قربة,اقترب,قريب
قرح	قرحة,اقترح,قرح
قرد	قرد,قرد,قراد
قردح	قردح
قردس	قردس
قرر	قار,قرر,قرارة,قرة,قر,تقرر,مقرر,أقر,مستقر,استقر,قرر,مقر,قارة,قرير
قرز	قرز
قرزل	قرزل
قرزم	قرزم
قرس	قرس
قرش	قرش,قرش
قرشح	قرشح
قرص	قرص,قرصة,قرص
قرصب	قرصب
قرصم	قرصم
قرصن	قرصن,قرصنة,قرصان,قرصن
قرض	انقرض,استقرض,قارض,قرض,قرض,اقترض,أقرض,تقارض
قرع	قرع,قرعة
قرن	قرين,قارن,قرن
قري	قرية
قسط	قسط,قسط
قسم	قسمة,قاسم,قسم,تقسيم
قسو	قسو,قسوة
قشر	قشر
قشعر	اقشعر
قصب	قصب,قصاب,قصيبة
قصد	قصد,اقتصد,مقصود,قصيدة,اقتصاد,قصد
قصر	أقصر,قصير,مقصر,قصر
قصص	قصة,قص,مقص
قصف	قصف
قصو	أقصى
قضب	اقتضب,مقتضب,قضب,قضيب
قضي	أنقض,تنقض,نقض,انقضى,اقتضى,قاض,قضي,قضى,قضية
قطب	استقطب,قطب,قطب,تقطب
قطر	استقطر,قطار,قطر,تقاطر,تقطر
قطط	مقط,أقط
قطع	قاطع,مقطوع,قطع,انقطع,قطعة,مقاطعة,تقاطع
قطف	قطف,قطيفة,القطيف,اقتطف,قطف
قطم	قطمة
قطن	قطن
قعد	القاعدة,تقاعد,قاعدة,مقعد,قعد
قعر	قعر,قعر
قفر	قفر,قفر
قفز	قفز
قفقف	قفقف
قفل	أقفل,قفل,قافلة,مقفول
قلب	انقلب,قليب
قلد	قلد
قلق	قلق
قلل	قلل,أقل,قليل,قلة,استقلال,استقل,قل,مستقل
قلم	قلم
قلي	قلى
قمح	قمح
قمر	قامر,قمر,قمرة
قمش	قماش
قمع	قمع,قمع
قمم	قمة
قنطر	قنطر,قنطار,قنطر,قنطرة
قنع	اقتنع,قنع,أقنع
قهر	قهر
قهقه	قهقه
قهو	مقهى
قود	قائد,قاد,انقاد
قوس	قوس
قوع	قاع,قاعة
قول	قول,قول,مقال,تقول,قال,مقالة,مقولة
قوم	أقام,إقامة,مستقيم,قائمة,قومي,مقام,قاوم,قوم,قوم,قام,استقام
قوي	قوى,أقوى,قوي,قوي
قيء	قياء,قاء,تقيأ
قيد	قيد
قيس	مقاس,قاس,مقايسة,قايس,قياس
قيف	قيافة
قيل	إقالة,أقال,قال,استقال
قين	قين
كءس	كأس
كبب	كباب
كبد	كبد
كبر	أكبر,كبرياء,تكبر,كبر,كبير,كبر,كبري
كبس	كبيس,كبس,كابوس
كتب	أكتب,اكتتاب,مكاتب,تكتيب,مكتبة,مكتب,كتابة,اكتتب,كاتب,كتب,استكتاب,كتب,استكتب,تكاتب,كتاب,كتبي,كتيب,مكتوب,إكتاب,انكتب
كتل	تكتيل,كتل,كتلة,كتل,تكتل
كثب	كثيب
كثر	كثيرا,استكثر,كوثر,كثر,كثير,كثر,أكثر,كاثر,تكاثر
كحل	اكتحل,كحل,تكحل,كحل
كدس	تكدس,مكدوس,مكدس,تكديس,كادس,متكدس,كدس
كذب	تكذب,كذب,كذب,كذاب
كرب	كرب,كرب,انكرب,اكترب,أكرب
كرث	كارثة,كرث
كرر	كرر,كرر
كرس	كرسي
كرم	كرم,كريم,كرم,أكرم,مكرم
كره	كره,أكره,كراهية,استكره,كره,تكره
كري	كراء
كسب	كاسب,كسب
كسح	أكسح
كسر	كسر,مكسور,انكسر,كسر,كسارة
كسل	كسل,كسل,كسلان
كسو	كساء
كشف	انكشف,اكتشف,كشف,كشف,استكشف
كظم	
كعب	كعب,كعبة
كعك	كعكة,كعك
كفء	كافأ,كفاءة,تكافأ
كفر	كفر,تكفير,أكفر,كفارة,كفر,تكفيري,كافر
كفف	انكف,استكف,كف,كافة,كفف
كفل	كفل,كفل
كفهر	اكفهر
كفي	اكتفى,كفى,كاف
كلب	أكلب,كلب,استكلب
كلف	مكلف,كلف
كلل	كليل
كلم	كلام,تكلم,متكلم,كالم,كلمة,كلم,كلم
كمل	كمل,كميل,كمل,كمال,كامل,أكمل,مكمل
كمن	كمون
كنس	مكنسة,كنيسة
كهرب	كهرب
كهن	كاهنة,كاهن
كوت	تكويت,كوت,الكويت
كون	مكون,مكان,كيان,كون,كون,مكانة,كان,تكون
كوي	مكواة,مكوى
كيف	كيف
كيل	كيول
لءك	ملائك,ملأك,ملائكة
لءلء	لؤلؤة,لألأ,لؤلؤ,لءلء,لؤلؤي
لءم	تلاؤم,ملائم
لبب	لبب
لبث	لبث
لبس	لبس,لباس,ملبس,لبس
لتت	اللات
لجء	لجأ,لاجئ,لجء,لجوء,لجئ,ملجأ
لجج	لج
لجن	لجنة
لحد	لحد
لحس	لحس
لحظ	لحظ,ملاحظة,لاحظ,لحظ,ملاحظ
لحف	لحاف
لحق	لحق,ألحق,ملاحقة,لاحق
لحن	ملحون,تلحين,ملحن,لحن,لحن
لخص	لخص
لذذ	ألذ
لزم	التزم,التزام,لازم,ألزم
لسن	لسان
لصص	لص
لطف	لطف,لطف,لطيف
لعب	لعب,لاعب,لعاب,ملعب,تلعب,لعبة
لعق	ملعقة,لعق
لعن	لعن
لغو	لغوي,لغو,إلغاء,لغة
لفت	التفت,لفت
لفظ	تلفظ,لفظ
لفف	لفافة,ملف,لفاف
لفو	ألفى
لقب	لقب
لقح	حبوباللقاح,لقاح
لقط	التقط
لقف	لقف
لقم	لقمة
لقن	لقن,لقن
لقي	ملاقاة,التقى,تلاقى,لقيت,تلقى,لاقى,استلقى,ألقى,لقي,لقاء,لقي
لكن	لكن
لمز	لمز
لمس	لامس,تلامس,التمس,لمس,لمس
لهج	لهجة
لهم	لهم,استلهم,تلهم,لهم,التهم,ألهم
لوث	تلوث,لوث
لوح	لاح,لوح,لوحة,لائحة
لوم	لام
لون	تلون
لوي	لواء
ليس	أليس
ليق	أليق,ليقة,لاق,لائق
ليل	ليل,ليلة
لين	ألين,لين
مءن	مينا,ميناء
متع	متعة,استمتع,تمتع,متاع,ممتع
مثل	تمثال,مثل,ماثل,ممثل,امتثل,مثل,مثيل,مثال,ممثلة,مثالي,تمثل,تماثل,أمثل
مثن	مثن
مجد	مجد,ماجد,مجيد,أمجد
مجر	مجر
محص	محص
محق	ممحوق,محق,ماحق
محن	محن,امتحان,امتحن
محو	محا
مدد	مادة,أمد,مدة,مد,امتد
مدن	مدينة,مدن,تمدن
مدي	مدى,مدية
مذي	مذي
مرء	امرؤ,امرأة
مرج	مرج
مرد	مارد,مرد,تمرد
مرر	مار,أمر,استمرار,مستمر,مر,مرة,ممر,مرر,مرير,استمر,مرارة
مرس	مارس
مرش	مرش
مرض	ممرض,مرض,مرض,مريض,أمرض
مرن	مرن,تمرين
مزج	مازج
مزح	مازح,مزح
مسح	مسيح,مسح,ممسوح,ممسحة,ماسح,تمسيح,ممسح,مساحة
مسد	مسد
مسس	مس,ماس
مسك	أمسك,تماسك,تمسك,مسك,مسك,استمسك
مسو	مساء
مشي	ماشية,مشية,مشى,مشي,ماش
مصص	مص
مضغ	مضغ
مضي	أمضى,مضى,ماض
مطر	ممطر,مطر,أمطر,مطر,استمطر,ماطر,ممطرة
مطط	مطاط
معز	ماعزة,ماعز,معز,معزة
معض	امتعض,امتعاض
معي	معى
مكث	مكث
مكر	مكر
مكس	مكس
مكن	تمكن,أمكن,ممكن,مكن
ملء	مملوء,ملأ,ممتلئ,ملء,أملأ,ملآن
ملح	أملح,مليح
ملك	مملوك,مملكة,أملك,مالك,امتلك
ملل	ممل,أمل
منء	مينا,ميناء
منع	امتنع,منع,ممنوع
منو	مني,استمنى,تمنى
مني	مني,استمنى,تمنى
مهر	ماهر,أمهر
مهل	مهلة
مهن	مهنة
موت	استمات,موت,ميت,مات,موت,أمات
موج	موج
مول	مال,مول
موه	ماء
ميد	ميد
ميز	متميز,أميز,ممتاز,امتاز
ميس	ميس
ميل	أميل,مال,ميل,ميل
نءي	نأى
نبء	نبء,أنبأ,تنبأ,استنبأ,نبي
نبت	نبات,نبت
نبح	نبح,نبح
نبخ	نبخ,نبخ
نبذ	نبذ,نبذ,أنبذ,نبيذ
نبر	نبر,نبر
نبز	نبز
نبع	منبع
نبه	انتبه
نبو	نبي
نتج	نتيجة,منتج
نتن	نتن,نتن
نجح	نجاح,نجح
نجد	أنجد,نجدي,استنجد,نجدة,نجد,نجد,ناجد,نجادة
نجر	نجار
نجز	أنجز
نجس	نجس,نجس
نجل	نجل
نجم	تنجم,نجام,نجم,منجم,نجمة
نجو	نجا
نحت	نحت
نحر	نحر,نحر,انتحر
نحف	أنحف,نحيف,نحف
نحل	نحل,تنحل,نحل,أنحل,انتحل
نحو	نحو,تنحى,ناحية
نخب	انتخاب
نخع	نخاع
نخي	نخي
ندب	ندب
ندد	ندد,ندد
ندر	أندر,نادر
ندم	ندم
ندو	ناد,نادى,ندو,ندي,منتدى
نذر	نذر
نزع	نزع
نزف	نزف
نزق	
نزل	نزل,نزل,أنزل,تنزل,منزل
نسء	نسيئة,نسأ,نسء,منسأة,نساء
نسب	انتسب,تناسب,مناسبة,استنسب,ناسب,نسب,مناسب,نساب,نسبة
نسخ	نسخ
نسف	نسف
نسق	نسق,نسق
نسل	نسل
نسو	نساء
نسي	نسي,نسى,نسي
نشء	أنشأ,نشئه,نشأ,نشء,إنشاء
نشب	نشب
نشر	نشرة,نشر,نشر,انتشر,منشار
نشط	أنشطة,نشاط,نشيط,تنشط,أنشط,نشط
نشف	نشافة,منشفة
نشل	نشل
نشو	نشاء
نصب	منصب,نصب
نصت	تنصت,نصت,أنصت
نصح	أنصح,نصح,نصيحة,نصح
نصر	نصر,انتصار,انتصر
نصص	نص
نصف	نصف,أنصف,منصف
نضد	نضد
نطط	نط
نطف	نطف
نطق	منطقة,منطق,نطق,نطق
نطنط	نطنيطة,نطيطة
نظر	ناظر,منظر,نظارة,انتظر,نظر,نظرية,نظير,نظر
نظف	نظيف,نظف,أنظف
نظم	انتظام,منتظم,نظام,نظم,انتظم,تنظيم,نظم,منظمة
نعس	نعسان
نعظ	نعظ,نعظ,أنعظ,نعوظ,ناعوظ
نعل	نعل
نعم	نعام,أنعم,نعامة,نعيم,ناعم,نعم,इनाम
